Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Puerto Rico (US);PRI;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,65;0,64;0,65;0,64;0,65;0,65;0,67;0,66;0,70;0,70;0,71;0,73;0,74;0,75;0,72;0,75;0,77;0,77;0,81;0,84;0,85;0,86;0,86;0,87;0,88;0,90;0,93;0,95;0,91;0,88;0,85;0,80;0,78;0,78;0,78
Portugal;PRT;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,67;0,70;0,82;0,72;0,74;0,82;0,82;0,73;0,73;0,70;0,61;0,60;0,64;0,76;0,84;0,83;0,80;0,89;0,94;0,88;0,83;0,87;0,78;0,78;0,77;0,65;0,63;0,65;0,67;0,62;0,62;0,64;0,55;0,58;0,57
Paraguay;PRY;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,26;0,29;0,28;0,27;0,27;0,28;0,30;0,28;0,26;0,25;0,25;0,24;0,20;0,20;0,23;0,25;0,28;0,35;0,44;0,40;0,44;0,51;0,52;0,53;0,53;0,46;0,43;0,44;0,44;0,41;0,37;0,39;0,38;0,36;0,35
West Bank and Gaza;PSE;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;;0,57;0,60;0,61;0,58;0,54;0,52;0,56;0,56;0,56;0,53;0,49;0,48;0,49;0,50;0,57;0,58;0,65;0,67;0,62;0,66;0,62;0,57;0,58;0,59;0,57;0,56;0,54;0,65;0,62;0,58;0,59
Qatar;QAT;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,30;0,28;0,27;0,25;0,25;0,26;0,27;0,26;0,21;0,24;0,31;0,29;0,29;0,34;0,37;0,47;0,49;0,53;0,64;0,48;0,51;0,59;0,60;0,61;0,65;0,67;0,68;0,64;0,65;0,62;0,63;0,61;0,72;0,62;0,60
Romania;ROU;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,31;0,26;0,24;0,25;0,27;0,30;0,28;0,28;0,33;0,29;0,28;0,28;0,30;0,35;0,39;0,48;0,50;0,61;0,62;0,51;0,48;0,51;0,45;0,48;0,49;0,42;0,39;0,40;0,42;0,39;0,38;0,40;0,37;0,40;0,41
Russian Federation;RUS;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,44;0,44;0,45;0,46;0,46;0,47;0,48;0,48;0,34;0,23;0,26;0,29;0,30;0,32;0,40;0,45;0,46;0,55;0,58;0,44;0,52;0,63;0,63;0,61;0,55;0,39;0,36;0,41;0,39;0,37;0,32;0,32;0,38;0,32;0,31
Rwanda;RWA;;;0,73;0,54;0,53;0,55;0,41;0,51;0,48;0,55;0,54;0,48;0,41;0,35;0,31;0,32;0,32;0,35;0,36;0,40;0,44;0,45;0,45;0,46;0,49;0,47;0,43;0,41;0,39;0,39;0,36;0,35;0,34;0,30;0,31;0,30;0,27
Saudi Arabia;SAU;;;0,24;0,24;0,23;0,22;0,22;0,22;0,24;0,24;0,20;0,22;0,24;0,23;0,23;0,24;0,26;0,30;0,32;0,34;0,39;0,32;0,37;0,42;0,44;0,45;0,44;0,43;0,45;0,45;0,49;0,50;0,51;0,51;0,54;0,51;0,49
Sudan;SDN;;;0,86;1,01;0,15;0,17;0,24;0,24;0,15;0,16;0,14;0,13;0,14;0,16;0,17;0,19;0,22;0,27;0,31;0,38;0,39;0,32;0,34;0,32;0,27;0,31;0,30;0,31;0,23;0,23;0,17;0,18;0,17;0,22;0,31;0,33;0,47
Senegal;SEN;;;0,63;0,59;0,60;0,55;0,37;0,43;0,43;0,38;0,38;0,36;0,31;0,31;0,33;0,38;0,41;0,42;0,42;0,48;0,54;0,50;0,48;0,51;0,48;0,50;0,49;0,41;0,41;0,42;0,43;0,39;0,39;0,38;0,35;0,36;0,34
Singapore;SGP;;;0,50;0,57;0,60;0,61;0,65;0,71;0,71;0,67;0,58;0,55;0,54;0,50;0,49;0,49;0,51;0,51;0,53;0,57;0,59;0,59;0,63;0,67;0,68;0,69;0,68;0,64;0,63;0,64;0,64;0,63;0,60;0,60;0,63;0,59;0,60
Solomon Islands;SLB;;;0,75;0,72;0,74;0,76;0,77;0,79;0,83;0,85;0,72;0,77;0,75;0,78;0,67;0,63;0,63;0,68;0,70;0,74;0,77;0,77;0,77;0,83;0,89;0,90;0,91;0,87;0,86;0,87;0,91;0,89;0,86;0,79;0,74;0,74;0,75
Sierra Leone;SLE;;;0,18;0,20;0,21;0,23;0,27;0,27;0,29;0,27;0,21;0,21;0,18;0,32;0,29;0,28;0,27;0,29;0,34;0,36;0,39;0,36;0,36;0,37;0,40;0,41;0,40;0,38;0,32;0,31;0,32;0,31;0,31;0,31;0,27;0,22;0,25
El Salvador;SLV;;;0,31;0,32;0,33;0,35;0,37;0,41;0,43;0,43;0,45;0,44;0,45;0,45;0,45;0,46;0,46;0,46;0,47;0,48;0,48;0,48;0,49;0,51;0,52;0,51;0,49;0,48;0,46;0,45;0,45;0,44;0,43;0,43;0,43;0,42;0,42
Somalia, Fed. Rep.;SOM;;;;0,22;0,24;0,40;0,55;0,54;0,57;0,68;0,86;0,81;0,83;0,50;0,44;0,52;0,65;0,71;0,69;0,69;0,69;0,32;0,27;0,27;0,35;0,42;0,38;0,33;0,31;0,32;0,33;0,35;0,36;0,39;0,39;0,38;0,40
Serbia;SRB;;;;;;;;0,47;0,56;0,59;0,43;0,47;0,15;0,27;0,32;0,39;0,41;0,41;0,43;0,52;0,56;0,49;0,45;0,50;0,43;0,46;0,45;0,37;0,36;0,38;0,41;0,38;0,39;0,41;0,38;0,43;0,42
Sao Tome and Principe;STP;;;0,64;0,56;0,48;0,61;0,61;0,46;0,58;0,39;0,29;0,30;0,29;0,27;0,29;0,32;0,33;0,36;0,34;0,33;0,39;0,40;0,37;0,42;0,45;0,47;0,46;0,41;0,43;0,45;0,46;0,42;0,42;0,41;0,40;0,48;0,52
Suriname;SUR;;;0,21;0,26;0,23;0,25;0,33;0,33;0,36;0,36;0,42;0,33;0,34;0,28;0,34;0,36;0,38;0,42;0,46;0,48;0,54;0,58;0,61;0,57;0,58;0,56;0,55;0,53;0,39;0,34;0,37;0,34;0,28;0,27;0,30;0,26;0,34
Slovak Republic;SVK;;;0,28;0,36;0,41;0,42;0,47;0,55;0,55;0,51;0,52;0,53;0,48;0,46;0,49;0,62;0,70;0,70;0,70;0,76;0,79;0,72;0,67;0,70;0,65;0,65;0,64;0,55;0,56;0,58;0,62;0,57;0,56;0,58;0,52;0,56;0,55
Slovenia;SVN;;;0,74;0,57;0,58;0,56;0,59;0,79;0,76;0,68;0,70;0,67;0,57;0,55;0,58;0,70;0,76;0,76;0,76;0,86;0,93;0,90;0,85;0,87;0,78;0,78;0,79;0,66;0,64;0,64;0,67;0,61;0,61;0,64;0,56;0,60;0,60
Sweden;SWE;;;1,50;1,54;1,58;1,18;1,19;1,31;1,38;1,22;1,18;1,13;1,00;0,91;0,97;1,17;1,26;1,27;1,23;1,31;1,33;1,17;1,25;1,36;1,28;1,32;1,27;1,05;1,03;1,04;1,02;0,91;0,92;0,98;0,83;0,83;0,81
Eswatini;SWZ;;;0,39;0,38;0,40;0,40;0,40;0,45;0,40;0,41;0,36;0,34;0,37;0,31;0,28;0,40;0,47;0,50;0,47;0,46;0,43;0,45;0,54;0,56;0,54;0,48;0,45;0,41;0,38;0,45;0,47;0,42;0,37;0,40;0,36;0,33;0,33
Sint Maarten (Dutch part);SXM;;;;;;;;;;;;;;;;;;;;;;0,77;0,77;0,75;0,87;0,86;0,85;0,85;0,83;0,78;0,76;0,76;0,78;0,80;0,78;0,76;0,77
Seychelles;SYC;;;0,63;0,60;0,64;0,63;0,65;0,66;0,59;0,58;0,60;0,60;0,55;0,56;0,61;0,64;0,76;0,74;0,73;0,65;0,60;0,53;0,58;0,56;0,55;0,66;0,61;0,60;0,58;0,57;0,57;0,56;0,45;0,50;0,56;0,57;0,54
Syrian Arab Republic;SYR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,26;0,32;0,32;0,15;0,14;0,22;0,18;
Turks and Caicos Islands;TCA;;;;;;;;;;;;;;;;;;;;1,06;1,08;1,08;1,03;1,03;1,10;1,07;1,07;1,07;1,05;1,00;1,02;1,02;1,06;1,09;1,04;1,00;0,99
Chad;TCD;;;0,41;0,39;0,36;0,32;0,23;0,27;0,29;0,26;0,27;0,24;0,21;0,23;0,24;0,29;0,34;0,40;0,44;0,46;0,54;0,50;0,49;0,55;0,56;0,62;0,60;0,42;0,41;0,41;0,43;0,38;0,40;0,39;0,34;0,34;0,34
Togo;TGO;;;0,52;0,50;0,53;0,45;0,30;0,37;0,37;0,33;0,35;0,33;0,31;0,30;0,33;0,37;0,39;0,40;0,39;0,44;0,50;0,49;0,46;0,49;0,46;0,48;0,47;0,40;0,40;0,40;0,41;0,37;0,36;0,36;0,32;0,32;0,32
Thailand;THA;;;0,35;0,36;0,37;0,38;0,40;0,42;0,42;0,35;0,28;0,29;0,28;0,25;0,26;0,27;0,28;0,28;0,31;0,33;0,36;0,35;0,38;0,41;0,39;0,40;0,38;0,36;0,35;0,36;0,38;0,38;0,36;0,35;0,31;0,31;0,30
Tajikistan;TJK;;;0,19;0,19;0,20;0,20;0,23;0,21;0,21;0,18;0,24;0,18;0,13;0,15;0,15;0,17;0,20;0,20;0,22;0,26;0,33;0,31;0,32;0,34;0,36;0,35;0,34;0,32;0,27;0,27;0,27;0,25;0,23;0,22;0,23;0,24;0,25
Turkmenistan;TKM;;;0,27;0,27;0,31;0,30;0,28;0,29;0,29;0,33;0,33;0,26;0,25;0,25;0,27;0,30;0,29;0,29;0,32;0,35;0,46;0,45;0,45;0,50;0,55;0,56;0,57;0,45;0,44;0,44;0,43;0,43;0,44;0,43;0,44;0,42;0,42
Timor-Leste;TLS;;;0,25;0,25;0,28;0,29;0,29;0,29;0,31;0,30;0,31;0,33;0,33;0,36;0,38;0,39;0,34;0,34;0,34;0,36;0,38;0,38;0,42;0,45;0,43;0,47;0,43;0,42;0,39;0,37;0,34;0,34;0,27;0,39;0,41;0,31;0,28
Tonga;TON;;;0,48;0,50;0,51;0,49;0,63;0,62;0,65;0,62;0,54;0,54;0,52;0,44;0,42;0,46;0,52;0,57;0,64;0,65;0,70;0,66;0,77;0,79;0,88;0,82;0,78;0,75;0,67;0,70;0,72;0,72;0,70;0,70;0,67;0,62;
Trinidad and Tobago;TTO;;;0,59;0,58;0,53;0,44;0,44;0,45;0,45;0,41;0,39;0,40;0,44;0,45;0,42;0,45;0,48;0,52;0,52;0,57;0,69;0,49;0,55;0,62;0,64;0,67;0,68;0,67;0,62;0,62;0,61;0,59;0,57;0,58;0,63;0,54;0,54
Tunisia;TUN;;;0,45;0,45;0,48;0,43;0,44;0,49;0,48;0,44;0,43;0,42;0,37;0,36;0,36;0,40;0,42;0,41;0,40;0,41;0,45;0,42;0,41;0,42;0,40;0,41;0,41;0,37;0,35;0,32;0,31;0,28;0,30;0,31;0,27;0,28;0,30
Turkiye;TUR;;;0,45;0,44;0,42;0,44;0,33;0,39;0,38;0,36;0,49;0,47;0,45;0,34;0,39;0,49;0,56;0,62;0,59;0,65;0,68;0,58;0,61;0,58;0,57;0,56;0,50;0,43;0,41;0,38;0,34;0,32;0,30;0,31;0,27;0,31;0,35
Tuvalu;TUV;;;0,65;0,64;0,63;0,59;0,59;0,62;0,72;0,66;0,57;0,61;0,61;0,56;0,60;0,72;0,84;0,84;0,86;0,92;0,94;0,87;1,03;1,14;1,14;1,07;1,03;0,89;0,94;0,99;1,01;0,98;0,97;1,10;1,04;1,03;
Tanzania;TZA;;;0,26;0,29;0,26;0,23;0,24;0,26;0,31;0,34;0,36;0,35;0,35;0,32;0,31;0,31;0,30;0,30;0,28;0,30;0,35;0,35;0,36;0,35;0,41;0,44;0,46;0,41;0,39;0,40;0,38;0,36;0,34;0,33;0,32;0,30;0,28
Uganda;UGA;;;0,60;0,42;0,34;0,35;0,40;0,50;0,48;0,46;0,46;0,38;0,37;0,33;0,31;0,31;0,34;0,36;0,34;0,36;0,40;0,40;0,39;0,37;0,39;0,40;0,42;0,39;0,35;0,35;0,34;0,34;0,33;0,33;0,33;0,32;0,33
Ukraine;UKR;;;0,21;0,21;0,22;0,22;0,22;0,23;0,23;0,26;0,22;0,16;0,15;0,17;0,18;0,19;0,21;0,26;0,30;0,36;0,43;0,33;0,36;0,40;0,41;0,38;0,29;0,21;0,20;0,23;0,24;0,25;0,24;0,27;0,28;0,29;0,29
Uruguay;URY;;;0,48;0,54;0,56;0,62;0,66;0,73;0,72;0,71;0,71;0,67;0,64;0,60;0,41;0,36;0,38;0,43;0,46;0,50;0,60;0,60;0,71;0,79;0,83;0,89;0,84;0,77;0,74;0,81;0,79;0,71;0,61;0,61;0,63;0,67;0,66
United States;USA;;;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00
Uzbekistan;UZB;;;0,26;0,26;0,27;0,27;0,28;0,29;0,29;0,28;0,27;0,29;0,22;0,17;0,14;0,14;0,15;0,16;0,17;0,20;0,24;0,25;0,32;0,35;0,37;0,38;0,40;0,41;0,40;0,28;0,22;0,24;0,23;0,24;0,25;0,26;0,27
St. Vincent and the Grenadines;VCT;;;0,52;0,52;0,53;0,51;0,51;0,50;0,51;0,51;0,52;0,52;0,55;0,57;0,57;0,54;0,55;0,55;0,55;0,58;0,61;0,59;0,62;0,61;0,61;0,61;0,59;0,59;0,57;0,59;0,57;0,57;0,54;0,53;0,54;0,53;0,54
Viet Nam;VNM;;;0,10;0,14;0,13;0,16;0,17;0,20;0,21;0,21;0,20;0,20;0,20;0,19;0,19;0,19;0,20;0,23;0,24;0,26;0,31;0,31;0,31;0,34;0,34;0,35;0,35;0,34;0,33;0,32;0,32;0,31;0,30;0,31;0,30;0,29;0,29
Vanuatu;VUT;;;0,66;0,74;0,73;0,68;0,71;0,74;0,74;0,72;0,70;0,71;0,66;0,64;0,67;0,76;0,82;0,82;0,82;0,91;0,96;0,93;1,03;1,12;1,06;1,05;1,03;0,96;0,98;1,00;0,99;0,97;0,98;1,02;0,95;1,02;0,98
Samoa;WSM;;;0,35;0,34;0,35;0,33;0,56;0,52;0,53;0,59;0,54;0,49;0,47;0,44;0,43;0,47;0,55;0,58;0,58;0,64;0,68;0,67;0,67;0,70;0,74;0,75;0,73;0,72;0,68;0,69;0,67;0,66;0,64;0,64;0,62;0,62;0,63
Kosovo;XKX;;;;;;;;;;;;;;;;;;;;;0,45;0,41;0,42;0,46;0,43;0,46;0,48;0,40;0,41;0,43;0,44;0,41;0,41;0,43;0,38;0,39;0,39
South Africa;ZAF;;;0,49;0,51;0,55;0,53;0,53;0,56;0,50;0,50;0,44;0,42;0,40;0,34;0,31;0,44;0,54;0,56;0,54;0,55;0,49;0,52;0,63;0,66;0,62;0,55;0,51;0,46;0,42;0,48;0,52;0,49;0,44;0,50;0,44;0,40;0,40
Zambia;ZMB;;;0,28;0,28;0,26;0,24;0,29;0,29;0,25;0,29;0,23;0,21;0,21;0,22;0,21;0,23;0,27;0,32;0,44;0,44;0,51;0,40;0,47;0,50;0,51;0,52;0,50;0,39;0,37;0,44;0,43;0,37;0,30;0,32;0,38;0,33;0,29
Zimbabwe;ZWE;;;0,74;0,67;0,56;0,53;0,50;0,50;0,54;0,51;0,37;0,40;0,39;0,38;0,38;0,41;0,43;0,44;0,42;0,41;0,41;0,50;0,52;0,52;0,55;0,55;0,54;0,52;0,50;0,49;0,87;0,52;0,49;0,54;0,57;0,56;0,68
