wnšb,0x130FC 0x13AF8 0x13AF9
ḫnt,0x13540 0x130FF 0x13BCF 0x1329B 0x132B3 0x140E5 0x133C3 0x133C4 0x14379 0x1437A 0x1437B 0x1437C 0x133C5 0x1437D
ḏnd,0x13100 0x13B6C
ꜣt,0x13101 0x13B8F
ḥꜣ.t,0x136FB 0x13102 0x13B92 0x13B91 0x13DED
šsꜣ,0x13103 0x13104
šfšf.yt,0x13105
šf.yt,0x13B60 0x13B62 0x13106 0x13B67 0x13B68 0x13B64 0x13B66
pḥ.ty,0x137D0 0x13107
sꜥm,0x134DE 0x13108
ꜥm,0x13109
wsr,0x1377A 0x139D0 0x1310A 0x13B81 0x13B85 0x13B86
wp,0x13791 0x1310B 0x13BA6
wp-rnp.t,0x13AEF 0x13B0A 0x1310D 0x13BA5 0x1310E 0x13BA4 0x13D08
ꜥb.w,0x13110 0x13EBE
ḥ,0x137F9 0x13111 0x1339B 0x14338 0x14339 0x14337
ꜥr,0x13112 0x13BB2
ns,0x13113 0x13BB5 0x13BB3 0x13BB4
pḥ,0x13116
ḫpš,0x137B1 0x13117 0x13118 0x1331B 0x1331C 0x14231 0x14233
wḥm,0x13119 0x13BBD
st,0x1311D 0x13BCC 0x13BCD 0x141AB 0x141AA 0x133A6
šd,0x1311E 0x13BD0 0x13BD1 0x14356
ms,0x1311F 0x13120 0x13BD3 0x13E30 0x13BF5
ẖ.t,0x13121
sd,0x13122 0x13BD6
nfr,0x13B00 0x13B01 0x13B03 0x13B0E 0x13B0F 0x13B2C 0x13124 0x13BDE 0x13BDD 0x13E5B 0x13E3F 0x1413E
ꞽꜣ.t,0x13126 0x1320F 0x13F25 0x13F26 0x132BE 0x14117 0x14115 0x14118 0x141D7
šꜥd,0x13127 0x13BE8
psḏ,0x138FE 0x13128 0x13BE5 0x13BE4 0x13BE3 0x131F6 0x131F7 0x131F8 0x14113 0x13402 0x1340C
ꞽmꜣḫ,0x1312A 0x13BEC 0x13D18
ꜣwꞽ,0x1312B 0x13BEF 0x13BEE
šꜥ.t,0x1312C 0x13BF2 0x13BF1 0x1337C
spr,0x13BF0 0x1312D 0x13BF3
spḥ.t,0x1312E
ꞽwꜥ,0x1312F 0x13BF7
pẖr,0x13618 0x13ACE 0x13132 0x13133 0x13135 0x13136 0x13BFE 0x13BFF 0x13C00
ḳ(ꜣ)b,0x13134
wḏb,0x13137 0x13204
spẖr,0x139EC 0x139ED 0x13AEE 0x13138
f,0x134E7 0x13500 0x13508 0x13507 0x134FC 0x13505 0x136ED 0x13139 0x13191 0x13D5D 0x13D46 0x13DAE 0x13DB2 0x13DB1
ḥꜥ.w,0x1313A 0x1313B
ḥs,0x1387A 0x1313D 0x13E6B 0x133BF 0x1340F
mdw,0x1313E 0x13D10 0x13D14 0x13D15 0x13D11 0x13D13 0x133DD
ꜣ,0x1313F 0x13D0E 0x13D2D
ꜣꜣ,0x13140
mꜣ,0x1397B 0x13B8A 0x13BD8 0x13141 0x13333 0x13334 0x13335 0x1428F
tyw,0x13142 0x13CFC
bꞽk,0x13144 0x13CA5 0x13C94
nb,0x134C0 0x134C3 0x134C4 0x1352B 0x13612 0x13880 0x13883 0x137AE 0x138A9 0x137F3 0x13908 0x13A4E 0x13B4A 0x13B4F 0x13AD0 0x13AD1 0x13A4F 0x13B16 0x13B15 0x13B17 0x13A6D 0x13A72 0x13A57 0x13B26 0x13B21 0x13AC1 0x13B4D 0x13B1E 0x13145 0x13C9E 0x13C9D 0x13C9F 0x13CA4 0x13C69 0x14195 0x132DF 0x1339F 0x14363
nmty,0x13147 0x13CA7 0x13C9B 0x13C9C
ḥr-nbw,0x13149 0x13CA6
rꜥ-ḥr,0x1314A 0x13C6D 0x13C6F 0x13C6E
ḥnw,0x1314B 0x1401B 0x14066 0x14065 0x14067 0x14069 0x1406A 0x1406B 0x1406F 0x1406E 0x14073 0x1406D 0x1406C 0x14074
