#age [Z/H] [alpha/Fe] Hb Mg2 Mgb Fe5270 Fe5335 Fe MgFe
15 0 0.5 1.622 0.2758 4.86 2.559 1.95 2.2545 3.4070533896609256
0.6 0.35 0.5 4.626 0.1418 2.538 1.665 0.9747 1.31985 1.9326704861408734
0.8 0.35 0.5 3.869 0.1691 2.859 1.947 1.271 1.609 2.2417228820708415
1 0.35 0.5 3.35 0.1902 3.147 2.156 1.484 1.82 2.48853219388458
2 0.35 0.5 2.536 0.2331 3.961 2.499 1.751 2.125 3.011469269310248
3 0.35 0.5 2.339 0.2458 4.201 2.591 1.845 2.218 3.163429487123113
4 0.35 0.5 2.167 0.262 4.465 2.694 1.936 2.315 3.3288223743540297
5 0.35 0.5 2.054 0.2746 4.669 2.771 2.005 2.388 3.454908375051356
6 0.35 0.5 1.963 0.2866 4.859 2.838 2.064 2.451 3.5688652986628675
7 0.35 0.5 1.911 0.2937 4.976 2.875 2.098 2.4865 3.636402265976634
8 0.35 0.5 1.854 0.3022 5.106 2.919 2.137 2.528 3.7130047454857906
9 0.35 0.5 1.81 0.3089 5.212 2.948 2.159 2.5534999999999997 3.770085006999179
10 0.35 0.5 1.754 0.318 5.349 2.991 2.193 2.592 3.8475548651058897
11 0.35 0.5 1.696 0.3274 5.481 3.039 2.233 2.636 3.9268061984264007
12 0.35 0.5 1.649 0.335 5.583 3.076 2.262 2.669 3.9875845621127586
13 0.35 0.5 1.605 0.3422 5.676 3.109 2.288 2.6985 4.042509755090271
14 0.35 0.5 1.564 0.3489 5.76 3.137 2.311 2.724 4.091081421824796
15 0.35 0.5 1.526 0.355 5.831 3.161 2.328 2.7445 4.131799675686128
0.6 0.67 0.5 4.689 0.1292 2.591 2.035 1.046 1.5405000000000002 2.1342880030586313
0.8 0.67 0.5 3.923 0.1699 2.993 2.358 1.415 1.8865 2.5034420864082314
1 0.67 0.5 3.467 0.1909 3.327 2.536 1.593 2.0645 2.749329176362845
2 0.67 0.5 2.502 0.2539 4.432 3 2.075 2.5375 3.4854141791184587
3 0.67 0.5 2.055 0.3103 5.255 3.312 2.368 2.84 4.001944327448847
4 0.67 0.5 1.84 0.3444 5.752 3.479 2.516 2.9975 4.296537992384101
5 0.67 0.5 1.795 0.3537 5.88 3.506 2.563 3.0345 4.366088043088458
6 0.67 0.5 1.74 0.3639 6.029 3.551 2.616 3.0835 4.453154702006208
7 0.67 0.5 1.681 0.3748 6.19 3.6 2.673 3.1365 4.5472325209956
8 0.67 0.5 1.612 0.3859 6.326 3.652 2.721 3.1865 4.631791264726855
9 0.67 0.5 1.533 0.3985 6.48 3.71 2.775 3.2424999999999997 4.726979585316611
10 0.67 0.5 1.441 0.4131 6.662 3.776 2.836 3.306 4.837589647748143
11 0.67 0.5 1.395 0.4201 6.733 3.802 2.863 3.3325 4.881457327479161
12 0.67 0.5 1.345 0.4276 6.811 3.83 2.891 3.3605 4.929034578900822
13 0.67 0.5 1.3 0.4341 6.875 3.852 2.909 3.3804999999999996 4.966611017585331
14 0.67 0.5 1.268 0.4384 6.914 3.865 2.913 3.3890000000000002 4.987946888249714
15 0.67 0.5 1.24 0.4417 6.938 3.875 2.91 3.3925 5.00101013796213
