#age [Z/H] [alpha/Fe] Hbeta Mg2 Mgb Fe5270 Fe5335 Fe MgFe
14 0.06 0.4 1.838 0.222 4.677 2.747 2.392 2.569 3.519
0.6 0.26 0.4 5.411 0.07 1.792 1.75 1.516 1.633 1.738
0.7 0.26 0.4 4.829 0.077 1.99 1.911 1.651 1.781 1.912
0.8 0.26 0.4 4.361 0.092 2.247 2.017 1.769 1.893 2.092
0.9 0.26 0.4 3.96 0.105 2.477 2.133 1.888 2.011 2.261
1 0.26 0.4 3.671 0.118 2.678 2.221 1.975 2.098 2.401
1.25 0.26 0.4 3.346 0.135 3.034 2.324 2.077 2.2 2.615
1.5 0.26 0.4 3.134 0.144 3.254 2.384 2.137 2.26 2.744
1.75 0.26 0.4 2.972 0.155 3.49 2.458 2.202 2.33 2.886
2 0.26 0.4 2.835 0.163 3.663 2.525 2.236 2.381 2.992
2.25 0.26 0.4 2.7 0.173 3.856 2.588 2.287 2.437 3.107
2.5 0.26 0.4 2.641 0.179 3.957 2.609 2.306 2.458 3.161
2.75 0.26 0.4 2.614 0.18 4.003 2.606 2.301 2.454 3.176
3 0.26 0.4 2.558 0.185 4.094 2.638 2.329 2.483 3.232
3.25 0.26 0.4 2.513 0.189 4.166 2.661 2.349 2.505 3.274
3.5 0.26 0.4 2.468 0.193 4.237 2.69 2.373 2.531 3.32
3.75 0.26 0.4 2.432 0.196 4.306 2.715 2.393 2.554 3.362
4 0.26 0.4 2.408 0.199 4.362 2.736 2.41 2.573 3.397
4.5 0.26 0.4 2.372 0.203 4.433 2.762 2.43 2.596 3.44
5 0.26 0.4 2.328 0.207 4.509 2.791 2.452 2.621 3.487
5.5 0.26 0.4 2.285 0.212 4.587 2.828 2.481 2.654 3.539
6 0.26 0.4 2.252 0.215 4.633 2.851 2.499 2.675 3.571
6.5 0.26 0.4 2.221 0.218 4.682 2.869 2.512 2.691 3.601
7 0.26 0.4 2.19 0.221 4.734 2.891 2.527 2.709 3.634
7.5 0.26 0.4 2.149 0.225 4.8 2.91 2.539 2.725 3.67
8 0.26 0.4 2.099 0.228 4.872 2.93 2.553 2.741 3.709
8.5 0.26 0.4 2.061 0.231 4.92 2.947 2.568 2.758 3.739
9 0.26 0.4 2.034 0.235 4.971 2.965 2.583 2.774 3.769
9.5 0.26 0.4 2.013 0.238 5.021 2.983 2.598 2.791 3.8
10 0.26 0.4 1.987 0.241 5.076 3.001 2.612 2.807 3.832
10.5 0.26 0.4 1.958 0.244 5.122 3.02 2.626 2.823 3.861
11 0.26 0.4 1.931 0.246 5.157 3.037 2.637 2.837 3.884
11.5 0.26 0.4 1.906 0.248 5.2 3.059 2.651 2.855 3.913
12 0.26 0.4 1.883 0.251 5.234 3.078 2.664 2.871 3.937
12.5 0.26 0.4 1.862 0.252 5.266 3.091 2.675 2.883 3.958
13 0.26 0.4 1.846 0.254 5.296 3.108 2.691 2.9 3.98
13.5 0.26 0.4 1.822 0.257 5.33 3.128 2.709 2.918 4.006
14 0.26 0.4 1.801 0.259 5.357 3.137 2.718 2.927 4.022
0.6 -0.96 0.6 5.576 0.02 0.873 0.633 0.61 0.622 0.74
0.7 -0.96 0.6 5.522 0.021 0.914 0.673 0.641 0.657 0.779
0.8 -0.96 0.6 5.514 0.021 0.955 0.695 0.66 0.678 0.809
0.9 -0.96 0.6 5.336 0.021 0.995 0.731 0.683 0.707 0.845
1 -0.96 0.6 4.99 0.023 1.029 0.794 0.729 0.761 0.893
1.25 -0.96 0.6 4.263 0.03 1.15 0.819 0.762 0.79 0.961
1.5 -0.96 0.6 3.876 0.033 1.197 0.9 0.829 0.864 1.026
1.75 -0.96 0.6 3.871 0.033 1.193 0.906 0.84 0.873 1.029
2 -0.96 0.6 3.699 0.035 1.228 0.935 0.862 0.898 1.06
2.25 -0.96 0.6 3.525 0.037 1.265 0.965 0.886 0.926 1.092
2.5 -0.96 0.6 3.446 0.039 1.298 0.983 0.902 0.942 1.116
2.75 -0.96 0.6 3.431 0.04 1.315 0.986 0.904 0.945 1.125
3 -0.96 0.6 3.349 0.041 1.346 1.009 0.921 0.965 1.151
3.25 -0.96 0.6 3.261 0.043 1.373 1.025 0.933 0.979 1.171
3.5 -0.96 0.6 3.189 0.044 1.399 1.036 0.94 0.988 1.189
3.75 -0.96 0.6 3.123 0.045 1.417 1.049 0.95 0.999 1.203
4 -0.96 0.6 3.058 0.046 1.438 1.063 0.962 1.012 1.22
4.5 -0.96 0.6 2.958 0.049 1.475 1.088 0.982 1.035 1.249
5 -0.96 0.6 2.88 0.05 1.496 1.099 0.991 1.045 1.265
5.5 -0.96 0.6 2.791 0.052 1.522 1.123 1.011 1.067 1.289
6 -0.96 0.6 2.707 0.054 1.555 1.148 1.031 1.089 1.317
6.5 -0.96 0.6 2.65 0.055 1.579 1.163 1.041 1.102 1.335
7 -0.96 0.6 2.596 0.057 1.599 1.175 1.052 1.113 1.351
7.5 -0.96 0.6 2.552 0.058 1.618 1.186 1.06 1.123 1.364
8 -0.96 0.6 2.506 0.059 1.63 1.199 1.074 1.137 1.377
8.5 -0.96 0.6 2.465 0.061 1.654 1.215 1.087 1.151 1.397
9 -0.96 0.6 2.442 0.062 1.666 1.215 1.088 1.152 1.402
9.5 -0.96 0.6 2.464 0.063 1.69 1.215 1.083 1.149 1.411
10 -0.96 0.6 2.599 0.063 1.679 1.192 1.067 1.13 1.394
10.5 -0.96 0.6 2.701 0.063 1.687 1.182 1.063 1.122 1.392
11 -0.96 0.6 2.785 0.064 1.694 1.18 1.062 1.121 1.394
11.5 -0.96 0.6 2.863 0.064 1.682 1.172 1.058 1.115 1.385
12 -0.96 0.6 2.931 0.064 1.679 1.17 1.053 1.112 1.382
12.5 -0.96 0.6 2.99 0.065 1.684 1.172 1.058 1.115 1.385
13 -0.96 0.6 2.984 0.066 1.696 1.18 1.063 1.122 1.395
13.5 -0.96 0.6 2.959 0.068 1.715 1.216 1.094 1.155 1.424
14 -0.96 0.6 2.875 0.07 1.738 1.221 1.098 1.16 1.436
0.6 -0.66 0.6 5.769 0.029 1.034 0.812 0.737 0.775 0.904
0.7 -0.66 0.6 5.7 0.03 1.113 0.853 0.758 0.805 0.959
0.8 -0.66 0.6 5.467 0.032 1.177 0.851 0.755 0.803 0.985
0.9 -0.66 0.6 5.247 0.034 1.242 0.862 0.771 0.817 1.019
1 -0.66 0.6 4.842 0.037 1.301 0.861 0.793 0.827 1.047
1.25 -0.66 0.6 4.076 0.053 1.534 1.101 0.984 1.043 1.28
1.5 -0.66 0.6 3.712 0.057 1.576 1.189 1.061 1.125 1.348
1.75 -0.66 0.6 3.384 0.065 1.714 1.257 1.111 1.184 1.444
2 -0.66 0.6 3.321 0.066 1.738 1.258 1.111 1.185 1.455
2.25 -0.66 0.6 3.218 0.069 1.794 1.288 1.13 1.209 1.494
2.5 -0.66 0.6 3.101 0.072 1.839 1.312 1.151 1.231 1.526
2.75 -0.66 0.6 3.083 0.073 1.864 1.321 1.156 1.239 1.542
3 -0.66 0.6 3.089 0.074 1.88 1.32 1.153 1.237 1.547
3.25 -0.66 0.6 2.966 0.076 1.92 1.339 1.17 1.255 1.575
3.5 -0.66 0.6 2.915 0.077 1.936 1.352 1.18 1.266 1.589
3.75 -0.66 0.6 2.9 0.077 1.937 1.356 1.184 1.27 1.592
4 -0.66 0.6 2.878 0.078 1.95 1.361 1.189 1.275 1.6
4.5 -0.66 0.6 2.761 0.081 1.987 1.387 1.212 1.299 1.63
5 -0.66 0.6 2.691 0.083 2.021 1.402 1.222 1.312 1.653
5.5 -0.66 0.6 2.63 0.085 2.06 1.423 1.239 1.331 1.681
6 -0.66 0.6 2.569 0.088 2.101 1.446 1.258 1.352 1.711
6.5 -0.66 0.6 2.514 0.09 2.131 1.47 1.277 1.373 1.737
7 -0.66 0.6 2.455 0.092 2.155 1.488 1.288 1.388 1.757
7.5 -0.66 0.6 2.404 0.094 2.182 1.506 1.302 1.404 1.778
8 -0.66 0.6 2.365 0.096 2.205 1.524 1.317 1.42 1.798
8.5 -0.66 0.6 2.333 0.097 2.234 1.533 1.326 1.429 1.815
9 -0.66 0.6 2.304 0.099 2.261 1.544 1.336 1.44 1.833
9.5 -0.66 0.6 2.276 0.1 2.279 1.556 1.345 1.451 1.847
10 -0.66 0.6 2.252 0.101 2.31 1.564 1.352 1.458 1.864
10.5 -0.66 0.6 2.23 0.103 2.334 1.571 1.359 1.465 1.878
11 -0.66 0.6 2.379 0.101 2.305 1.542 1.33 1.436 1.849
11.5 -0.66 0.6 2.493 0.101 2.275 1.517 1.304 1.41 1.821
12 -0.66 0.6 2.612 0.101 2.288 1.51 1.312 1.411 1.824
12.5 -0.66 0.6 2.745 0.101 2.291 1.497 1.308 1.402 1.819
13 -0.66 0.6 2.832 0.102 2.292 1.503 1.314 1.408 1.823
13.5 -0.66 0.6 2.902 0.104 2.296 1.511 1.322 1.416 1.83
14 -0.66 0.6 2.92 0.106 2.316 1.536 1.343 1.439 1.852
0.6 -0.35 0.6 5.891 0.037 1.241 0.942 0.862 0.902 1.068
0.7 -0.35 0.6 5.405 0.041 1.351 0.947 0.884 0.915 1.12
0.8 -0.35 0.6 5.254 0.043 1.434 0.992 0.92 0.956 1.18
0.9 -0.35 0.6 4.981 0.047 1.527 1.055 0.966 1.011 1.254
1 -0.35 0.6 4.699 0.052 1.617 1.131 1.02 1.076 1.334
1.25 -0.35 0.6 3.781 0.078 2.019 1.405 1.259 1.332 1.659
1.5 -0.35 0.6 3.655 0.087 2.169 1.45 1.301 1.376 1.748
1.75 -0.35 0.6 3.26 0.095 2.302 1.51 1.358 1.434 1.838
2 -0.35 0.6 3.102 0.098 2.353 1.538 1.382 1.46 1.875
2.25 -0.35 0.6 3.026 0.101 2.421 1.548 1.392 1.47 1.909
2.5 -0.35 0.6 2.894 0.103 2.442 1.58 1.41 1.495 1.935
2.75 -0.35 0.6 2.797 0.106 2.507 1.603 1.432 1.517 1.974
3 -0.35 0.6 2.715 0.108 2.535 1.604 1.435 1.52 1.986
3.25 -0.35 0.6 2.668 0.108 2.556 1.605 1.432 1.519 1.995
3.5 -0.35 0.6 2.613 0.11 2.577 1.612 1.44 1.526 2.008
3.75 -0.35 0.6 2.552 0.112 2.613 1.628 1.452 1.54 2.031
4 -0.35 0.6 2.479 0.114 2.658 1.65 1.466 1.558 2.061
4.5 -0.35 0.6 2.437 0.116 2.707 1.654 1.465 1.559 2.082
5 -0.35 0.6 2.402 0.119 2.76 1.672 1.476 1.574 2.113
5.5 -0.35 0.6 2.326 0.122 2.816 1.696 1.492 1.594 2.148
6 -0.35 0.6 2.28 0.124 2.868 1.708 1.5 1.604 2.175
6.5 -0.35 0.6 2.24 0.126 2.928 1.726 1.513 1.619 2.209
7 -0.35 0.6 2.207 0.128 2.972 1.736 1.525 1.63 2.232
7.5 -0.35 0.6 2.174 0.13 3.002 1.749 1.537 1.643 2.252
8 -0.35 0.6 2.139 0.132 3.031 1.761 1.549 1.655 2.271
8.5 -0.35 0.6 2.118 0.135 3.084 1.773 1.551 1.662 2.297
9 -0.35 0.6 2.107 0.137 3.139 1.797 1.564 1.68 2.332
9.5 -0.35 0.6 2.084 0.139 3.181 1.81 1.567 1.689 2.354
10 -0.35 0.6 2.056 0.141 3.217 1.824 1.582 1.703 2.377
10.5 -0.35 0.6 2.038 0.144 3.259 1.84 1.594 1.717 2.403
11 -0.35 0.6 2.027 0.145 3.277 1.849 1.599 1.724 2.414
11.5 -0.35 0.6 2.011 0.147 3.295 1.858 1.607 1.733 2.427
12 -0.35 0.6 1.997 0.147 3.296 1.859 1.615 1.737 2.429
12.5 -0.35 0.6 1.996 0.149 3.329 1.874 1.624 1.749 2.451
13 -0.35 0.6 1.989 0.15 3.339 1.881 1.629 1.755 2.459
13.5 -0.35 0.6 2.011 0.15 3.345 1.885 1.63 1.757 2.463
14 -0.35 0.6 2.028 0.151 3.353 1.889 1.632 1.761 2.468
0.6 0.06 0.6 5.59 0.055 1.677 1.349 1.211 1.28 1.482
0.7 0.06 0.6 5.121 0.062 1.85 1.469 1.3 1.384 1.622
0.8 0.06 0.6 4.681 0.072 2.037 1.594 1.399 1.496 1.771
0.9 0.06 0.6 4.241 0.085 2.273 1.733 1.506 1.619 1.948
1 0.06 0.6 3.766 0.107 2.607 1.898 1.654 1.776 2.184
1.25 0.06 0.6 3.479 0.118 2.818 1.963 1.694 1.829 2.306
1.5 0.06 0.6 3.087 0.129 3.033 2.103 1.822 1.962 2.478
1.75 0.06 0.6 3.002 0.137 3.225 2.064 1.766 1.915 2.527
2 0.06 0.6 2.892 0.145 3.426 2.064 1.763 1.914 2.604
2.25 0.06 0.6 2.777 0.151 3.551 2.096 1.795 1.945 2.673
2.5 0.06 0.6 2.733 0.153 3.62 2.104 1.795 1.95 2.702
2.75 0.06 0.6 2.67 0.157 3.695 2.124 1.805 1.965 2.742
3 0.06 0.6 2.615 0.161 3.771 2.143 1.82 1.982 2.782
3.25 0.06 0.6 2.559 0.164 3.835 2.161 1.836 1.998 2.818
3.5 0.06 0.6 2.517 0.167 3.901 2.182 1.852 2.017 2.855
3.75 0.06 0.6 2.49 0.17 3.944 2.195 1.861 2.028 2.879
4 0.06 0.6 2.467 0.17 3.958 2.199 1.866 2.033 2.887
4.5 0.06 0.6 2.406 0.175 4.06 2.221 1.884 2.053 2.938
5 0.06 0.6 2.352 0.179 4.145 2.248 1.902 2.075 2.986
5.5 0.06 0.6 2.315 0.181 4.188 2.26 1.909 2.085 3.009
6 0.06 0.6 2.282 0.184 4.253 2.273 1.919 2.096 3.041
6.5 0.06 0.6 2.236 0.187 4.324 2.287 1.931 2.109 3.076
7 0.06 0.6 2.198 0.19 4.38 2.309 1.945 2.127 3.109
7.5 0.06 0.6 2.156 0.193 4.441 2.329 1.962 2.145 3.144
8 0.06 0.6 2.126 0.196 4.489 2.344 1.971 2.158 3.171
8.5 0.06 0.6 2.094 0.198 4.533 2.355 1.978 2.166 3.193
9 0.06 0.6 2.059 0.201 4.571 2.363 1.982 2.172 3.212
9.5 0.06 0.6 2.033 0.203 4.621 2.373 1.988 2.18 3.235
10 0.06 0.6 2.007 0.205 4.649 2.38 1.991 2.186 3.25
10.5 0.06 0.6 1.986 0.208 4.698 2.393 2.001 2.197 3.275
11 0.06 0.6 1.964 0.211 4.75 2.406 2.013 2.21 3.303
11.5 0.06 0.6 1.951 0.212 4.78 2.418 2.024 2.221 3.321
12 0.06 0.6 1.931 0.214 4.805 2.43 2.031 2.231 3.338
12.5 0.06 0.6 1.913 0.216 4.847 2.448 2.045 2.246 3.364
13 0.06 0.6 1.901 0.218 4.888 2.458 2.053 2.256 3.385
13.5 0.06 0.6 1.883 0.219 4.9 2.462 2.055 2.259 3.392
14 0.06 0.6 1.867 0.22 4.92 2.471 2.058 2.265 3.405
0.6 0.26 0.6 5.348 0.072 2.022 1.712 1.465 1.588 1.823
0.7 0.26 0.6 4.847 0.081 2.227 1.824 1.548 1.686 1.972
0.8 0.26 0.6 4.362 0.096 2.496 1.932 1.653 1.792 2.151
0.9 0.26 0.6 3.965 0.11 2.761 2.039 1.747 1.893 2.325
1 0.26 0.6 3.684 0.123 2.98 2.124 1.817 1.971 2.465
1.25 0.26 0.6 3.374 0.141 3.33 2.182 1.887 2.035 2.644
1.5 0.26 0.6 3.213 0.147 3.509 2.236 1.91 2.073 2.743
1.75 0.26 0.6 3.02 0.158 3.716 2.297 1.974 2.136 2.864
2 0.26 0.6 2.868 0.166 3.902 2.36 2.011 2.186 2.971
2.25 0.26 0.6 2.736 0.176 4.084 2.404 2.047 2.225 3.067
2.5 0.26 0.6 2.674 0.181 4.186 2.424 2.057 2.241 3.117
2.75 0.26 0.6 2.654 0.181 4.235 2.406 2.042 2.224 3.124
3 0.26 0.6 2.596 0.186 4.323 2.435 2.068 2.252 3.176
3.25 0.26 0.6 2.55 0.189 4.416 2.462 2.083 2.272 3.225
3.5 0.26 0.6 2.503 0.193 4.492 2.483 2.096 2.289 3.266
3.75 0.26 0.6 2.464 0.197 4.558 2.501 2.107 2.304 3.301
4 0.26 0.6 2.441 0.199 4.611 2.512 2.113 2.312 3.327
4.5 0.26 0.6 2.41 0.203 4.685 2.531 2.127 2.329 3.366
5 0.26 0.6 2.365 0.208 4.778 2.556 2.143 2.349 3.415
5.5 0.26 0.6 2.325 0.211 4.836 2.578 2.156 2.367 3.449
6 0.26 0.6 2.299 0.215 4.893 2.598 2.173 2.385 3.483
6.5 0.26 0.6 2.268 0.217 4.936 2.615 2.182 2.398 3.508
7 0.26 0.6 2.239 0.22 4.989 2.626 2.19 2.408 3.535
7.5 0.26 0.6 2.198 0.224 5.061 2.645 2.202 2.424 3.572
8 0.26 0.6 2.156 0.228 5.13 2.663 2.219 2.441 3.609
8.5 0.26 0.6 2.114 0.231 5.187 2.681 2.229 2.455 3.64
9 0.26 0.6 2.077 0.234 5.242 2.7 2.239 2.469 3.671
9.5 0.26 0.6 2.049 0.237 5.297 2.713 2.248 2.481 3.699
10 0.26 0.6 2.023 0.24 5.344 2.726 2.256 2.491 3.724
10.5 0.26 0.6 2.001 0.242 5.387 2.739 2.264 2.502 3.747
11 0.26 0.6 1.978 0.244 5.42 2.758 2.277 2.517 3.77
11.5 0.26 0.6 1.959 0.246 5.459 2.769 2.281 2.525 3.79
12 0.26 0.6 1.929 0.249 5.514 2.784 2.289 2.537 3.819
12.5 0.26 0.6 1.904 0.251 5.54 2.804 2.304 2.554 3.841
13 0.26 0.6 1.882 0.252 5.562 2.817 2.313 2.565 3.858
13.5 0.26 0.6 1.865 0.254 5.58 2.825 2.318 2.572 3.869
14 0.26 0.6 1.85 0.255 5.594 2.83 2.324 2.577 3.878
