"","l","n","Cab","Car","Cbrown","Cw","Cm"
"235",634,1.4078,0.02969,0,0.2102,0.003011,2.3
"236",635,1.408,0.02993,0,0.2088,0.003023,2.3
"237",636,1.4083,0.03022,0,0.2074,0.003038,2.3
"238",637,1.4087,0.03059,0,0.2061,0.003057,2.3
"239",638,1.4093,0.03102,0,0.2047,0.003076,2.3
"240",639,1.41,0.03152,0,0.2033,0.003094,2.3
"241",640,1.4108,0.03208,0,0.202,0.003111,2.3
"242",641,1.4118,0.03269,0,0.2007,0.003127,2.3
"243",642,1.4128,0.03335,0,0.1994,0.003144,2.3
"244",643,1.414,0.03405,0,0.1981,0.003162,2.3
"245",644,1.4153,0.03478,0,0.1968,0.003181,2.3
"246",645,1.4166,0.03552,0,0.1955,0.003202,2.3
"247",646,1.4179,0.03626,0,0.1942,0.003223,2.3
"248",647,1.4193,0.03698,0,0.1929,0.003242,2.3
"249",648,1.4206,0.03767,0,0.1916,0.003263,2.3
"250",649,1.4218,0.03831,0,0.1903,0.003289,2.3
"251",650,1.4229,0.0389,0,0.189,0.003315,2.3
"252",651,1.424,0.03943,0,0.1878,0.003338,2.3
"253",652,1.425,0.03993,0,0.1865,0.003362,2.3
"254",653,1.4261,0.04043,0,0.1853,0.00339,2.3
"255",654,1.4272,0.04095,0,0.1841,0.003423,2.3
"256",655,1.4284,0.04152,0,0.1829,0.003461,2.3
"257",656,1.4298,0.04217,0,0.1816,0.003508,2.3
"258",657,1.4315,0.04293,0,0.1804,0.003567,2.3
"259",658,1.4335,0.0438,0,0.1792,0.003636,2.3
"260",659,1.4357,0.04478,0,0.178,0.003712,2.3
"261",660,1.4383,0.04588,0,0.1768,0.003791,2.3
"262",661,1.4411,0.04709,0,0.1755,0.003866,2.3
"263",662,1.4442,0.04837,0,0.1742,0.003931,2.3
"264",663,1.4475,0.0497,0,0.1729,0.003981,2.3
"265",664,1.4509,0.05106,0,0.1717,0.004019,2.3
"266",665,1.4544,0.05239,0,0.1704,0.004049,2.3
"267",666,1.4579,0.05368,0,0.1691,0.004072,2.3
"268",667,1.4614,0.05488,0,0.1679,0.004087,2.3
"269",668,1.4649,0.05595,0,0.1666,0.004098,2.3
"270",669,1.4682,0.05688,0,0.1653,0.004109,2.3
"271",670,1.4714,0.05765,0,0.1641,0.004122,2.3
"272",671,1.4744,0.05826,0,0.1627,0.004137,2.3
"273",672,1.4773,0.05871,0,0.1613,0.00415,2.3
"274",673,1.4802,0.059,0,0.16,0.00416,2.3
"275",674,1.483,0.05914,0,0.1586,0.004173,2.3
"276",675,1.4857,0.05914,0,0.1572,0.004196,2.3
"277",676,1.4884,0.05899,0,0.1559,0.004223,2.3
"278",677,1.4909,0.05868,0,0.1545,0.004248,2.3
"279",678,1.4932,0.05819,0,0.1532,0.00427,2.3
"280",679,1.4951,0.05748,0,0.1518,0.004293,2.3
"281",680,1.4963,0.0565,0,0.1504,0.004318,2.3
"282",681,1.4967,0.05522,0,0.1491,0.004347,2.3
"283",682,1.4958,0.05361,0,0.1478,0.004381,2.3
"284",683,1.4936,0.05168,0,0.1464,0.004418,2.3
"285",684,1.4899,0.04941,0,0.1451,0.004458,2.3
"286",685,1.4847,0.04689,0,0.1437,0.0045,2.3
"287",686,1.478,0.04416,0,0.1424,0.004545,2.3
"288",687,1.4702,0.04128,0,0.1411,0.004594,2.3
"289",688,1.4618,0.03834,0,0.1397,0.004646,2.3
"290",689,1.453,0.03541,0,0.1384,0.004701,2.3
"291",690,1.4445,0.03254,0,0.137,0.00476,2.3
"292",691,1.4366,0.02978,0,0.1358,0.004827,2.3
"293",692,1.4296,0.02717,0,0.1345,0.004903,2.3
"294",693,1.4237,0.02473,0,0.1333,0.004986,2.3
"295",694,1.419,0.02247,0,0.132,0.005071,2.3
"296",695,1.4154,0.02039,0,0.1308,0.005154,2.3
"297",696,1.4129,0.0185,0,0.1295,0.005244,2.3
"298",697,1.4112,0.01678,0,0.1283,0.005351,2.3
"299",698,1.4104,0.01523,0,0.127,0.00547,2.3
"300",699,1.4102,0.01384,0,0.1258,0.005594,2.3
"301",700,1.4106,0.01259,0,0.1245,0.005722,2.3
"302",701,1.4113,0.01147,0,0.1234,0.005855,2.3
"303",702,1.4124,0.01048,0,0.1223,0.005995,2.3
"304",703,1.4137,0.009594,0,0.1212,0.006146,2.3
"305",704,1.4152,0.008804,0,0.12,0.006303,2.3
"306",705,1.4168,0.008099,0,0.1189,0.006463,2.3
"307",706,1.4186,0.007465,0,0.1178,0.006628,2.3
"308",707,1.4204,0.006892,0,0.1167,0.006804,2.3
"309",708,1.4222,0.006371,0,0.1156,0.006993,2.3
"310",709,1.4242,0.005897,0,0.1144,0.007197,2.3
"311",710,1.4261,0.005461,0,0.1133,0.007415,2.3
"312",711,1.4281,0.005061,0,0.1122,0.007647,2.3
"313",712,1.4301,0.004691,0,0.1111,0.007893,2.3
"314",713,1.4321,0.004348,0,0.11,0.008157,2.3
"315",714,1.4341,0.004029,0,0.1089,0.008445,2.3
"316",715,1.4361,0.003733,0,0.1078,0.008763,2.3
"317",716,1.4382,0.003456,0,0.1067,0.009109,2.3
"318",717,1.4402,0.003199,0,0.1056,0.009479,2.3
"319",718,1.4422,0.00296,0,0.1046,0.009871,2.3
"320",719,1.4442,0.002736,0,0.1035,0.01029,2.3
"321",720,1.4462,0.002528,0,0.1024,0.01072,2.3
"322",721,1.4481,0.002334,0,0.1013,0.01119,2.3
"323",722,1.45,0.002153,0,0.1003,0.01168,2.3
"324",723,1.4518,0.001985,0,0.09931,0.01218,2.3
"325",724,1.4536,0.001829,0,0.09829,0.01268,2.3
"326",725,1.4554,0.001683,0,0.09727,0.01319,2.3
"327",726,1.4571,0.001549,0,0.09625,0.01372,2.3
"328",727,1.4587,0.001424,0,0.09524,0.01428,2.3
"329",728,1.4603,0.001309,0,0.09422,0.01487,2.3
"330",729,1.4618,0.001202,0,0.0932,0.01551,2.3
"331",730,1.4632,0.001103,0,0.09218,0.01621,2.3
"332",731,1.4646,0.001012,0,0.0912,0.01699,2.3
"333",732,1.4659,0.0009269,0,0.09022,0.01787,2.3
"334",733,1.4671,0.0008485,0,0.08924,0.01886,2.3
"335",734,1.4683,0.0007768,0,0.08827,0.01992,2.3
"336",735,1.4694,0.000711,0,0.08729,0.02101,2.3
"337",736,1.4704,0.0006505,0,0.08631,0.02207,2.3
"338",737,1.4713,0.0005948,0,0.08533,0.02306,2.3
"339",738,1.4721,0.0005437,0,0.08435,0.02394,2.3
"340",739,1.4729,0.0004967,0,0.08337,0.02469,2.3
"341",740,1.4736,0.0004539,0,0.08239,0.02532,2.3
"342",741,1.4742,0.000415,0,0.08155,0.02583,2.3
"343",742,1.4747,0.0003794,0,0.0807,0.02623,2.3
"344",743,1.4752,0.0003471,0,0.07985,0.02652,2.3
"345",744,1.4756,0.0003177,0,0.07901,0.02672,2.3
"346",745,1.4759,0.0002909,0,0.07816,0.02689,2.3
"347",746,1.4762,0.0002666,0,0.07732,0.02702,2.3
"348",747,1.4764,0.000245,0,0.07647,0.02713,2.3
"349",748,1.4765,0.0002255,0,0.07562,0.02722,2.3
"350",749,1.4766,0.0002079,0,0.07478,0.02728,2.3
"351",750,1.4766,0.0001924,0,0.07393,0.02733,2.3
"352",751,1.4767,0.0001773,0,0.07319,0.02738,2.3
"353",752,1.4767,0.0001629,0,0.07245,0.02741,2.3
"354",753,1.4767,0.0001493,0,0.07171,0.02745,2.3
"355",754,1.4767,0.0001364,0,0.07097,0.02748,2.3
"356",755,1.4766,0.0001243,0,0.07023,0.02751,2.3
"357",756,1.4766,0.0001128,0,0.06949,0.02754,2.3
"358",757,1.4765,0.000102,0,0.06875,0.02758,2.3
"359",758,1.4764,9.188e-05,0,0.06801,0.02763,2.3
"360",759,1.4763,8.24e-05,0,0.06727,0.02767,2.3
"361",760,1.4762,7.354e-05,0,0.06653,0.02771,2.3
"362",761,1.4761,6.529e-05,0,0.06586,0.02773,2.3
"363",762,1.4759,5.763e-05,0,0.06519,0.02773,2.3
"364",763,1.4758,5.054e-05,0,0.06452,0.02774,2.3
"365",764,1.4756,4.4e-05,0,0.06385,0.02774,2.3
"366",765,1.4754,3.8e-05,0,0.06318,0.02773,2.3
"367",766,1.4752,3.251e-05,0,0.06251,0.0277,2.3
"368",767,1.4751,2.753e-05,0,0.06184,0.02766,2.3
"369",768,1.4748,2.302e-05,0,0.06117,0.02761,2.3
"370",769,1.4746,1.898e-05,0,0.0605,0.02757,2.3
"371",770,1.4744,1.539e-05,0,0.05983,0.02754,2.3
"372",771,1.4742,1.222e-05,0,0.05913,0.02752,2.3
"373",772,1.4739,9.466e-06,0,0.05843,0.02748,2.3
"374",773,1.4737,7.101e-06,0,0.05773,0.02741,2.3
"375",774,1.4734,5.109e-06,0,0.05704,0.02731,2.3
"376",775,1.4732,3.473e-06,0,0.05634,0.0272,2.3
"377",776,1.4729,2.175e-06,0,0.05564,0.0271,2.3
"378",777,1.4727,1.196e-06,0,0.05494,0.02701,2.3
"379",778,1.4725,5.2e-07,0,0.05424,0.0269,2.3
"380",779,1.4722,1.27e-07,0,0.05354,0.02675,2.3
"381",780,1.472,0,0,0.05284,0.02659,2.3
"382",781,1.4718,0,0,0.05226,0.02645,2.3
"383",782,1.4716,0,0,0.05167,0.02633,2.3
"384",783,1.4714,0,0,0.05109,0.02624,2.3
"385",784,1.4712,0,0,0.0505,0.02613,2.3
"386",785,1.471,0,0,0.04992,0.02593,2.3
"387",786,1.4708,0,0,0.04933,0.02558,2.3
"388",787,1.4706,0,0,0.04874,0.02523,2.3
"389",788,1.4703,0,0,0.04816,0.02513,2.3
"390",789,1.4701,0,0,0.04757,0.02501,2.3
"391",790,1.47,0,0,0.04699,0.02466,2.3
"392",791,1.4698,0,0,0.04646,0.02447,2.3
"393",792,1.4696,0,0,0.04594,0.02412,2.3
"394",793,1.4694,0,0,0.04542,0.02389,2.3
"395",794,1.4692,0,0,0.0449,0.02374,2.3
"396",795,1.469,0,0,0.04437,0.02355,2.3
"397",796,1.4688,0,0,0.04385,0.02337,2.3
"398",797,1.4686,0,0,0.04333,0.02318,2.3
"399",798,1.4684,0,0,0.04281,0.02304,2.3
"400",799,1.4682,0,0,0.04228,0.02281,2.3
"401",800,1.4681,0,0,0.04176,0.02246,2.3
"402",801,1.4679,0,0,0.04128,0.02243,2.3
"403",802,1.4677,0,0,0.04081,0.02238,2.3
"404",803,1.4675,0,0,0.04033,0.02222,2.3
"405",804,1.4674,0,0,0.03985,0.02204,2.3
"406",805,1.4672,0,0,0.03937,0.02201,2.3
"407",806,1.467,0,0,0.03889,0.02204,2.3
"408",807,1.4668,0,0,0.03841,0.02196,2.3
"409",808,1.4666,0,0,0.03793,0.02177,2.3
"410",809,1.4665,0,0,0.03746,0.0219,2.3
"411",810,1.4663,0,0,0.03698,0.02188,2.3
"412",811,1.4662,0,0,0.03657,0.02188,2.3
"413",812,1.466,0,0,0.03615,0.02198,2.3
"414",813,1.4659,0,0,0.03574,0.0221,2.3
"415",814,1.4657,0,0,0.03533,0.02223,2.3
"416",815,1.4655,0,0,0.03492,0.02233,2.3
"417",816,1.4654,0,0,0.03451,0.02248,2.3
"418",817,1.4652,0,0,0.03409,0.02276,2.3
"419",818,1.4651,0,0,0.03368,0.02304,2.3
"420",819,1.4649,0,0,0.03327,0.02311,2.3
"421",820,1.4648,0,0,0.03286,0.02329,2.3
"422",821,1.4646,0,0,0.03249,0.02388,2.3
"423",822,1.4645,0,0,0.03212,0.02446,2.3
"424",823,1.4643,0,0,0.03175,0.02475,2.3
"425",824,1.4641,0,0,0.03139,0.02516,2.3
"426",825,1.4639,0,0,0.03102,0.0262,2.3
"427",826,1.4638,0,0,0.03065,0.02769,2.3
"428",827,1.4636,0,0,0.03028,0.0283,2.3
"429",828,1.4635,0,0,0.02991,0.02914,2.3
"430",829,1.4633,0,0,0.02954,0.03108,2.3
"431",830,1.4631,0,0,0.02918,0.03214,2.3
"432",831,1.463,0,0,0.02885,0.03297,2.3
"433",832,1.4628,0,0,0.02852,0.03459,2.3
"434",833,1.4627,0,0,0.02819,0.03606,2.3
